geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
GO:0006613	cotranslational protein targeting to membrane	http://amigo.geneontology.org/amigo/term/GO:0006613	99	51	7.746069842793711	6.583984011898123	0	0	3921;6125;6132;6134;6135;6136;6137;6141;6142;6143;6144;6147;6152;6156;6157;6158;6159;6161;6164;6165;6168;6169;6176;6181;6187;6188;6193;6194;6202;6203;6204;6205;6206;6207;6208;6209;6210;6217;6218;6223;6224;6228;6229;6232;6235;9349;10952;11224;23521;25873;130617	RPSA;RPS5;RPS9;RPL10;RPL18A;RPLP2;RPS2;RPL28;ZFAND2B;RPL18;RPL23;RPS19;RPS10;RPL35;RPL13A;RPL11;RPS16;RPL13;RPL29;RPS17;RPL30;RPS29;RPL5;RPS23;RPS20;RPS15;RPL27A;RPS15A;RPS8;RPS27;RPL36;RPL19;RPS11;RPS24;RPS6;RPL24;RPL8;RPS3;RPS14;RPL12;RPS12;RPL32;RPL37A;RPLP1;RPL23A;RPL21;RPS13;RPL35A;RPL34;SEC61B;RPL38
GO:0006614	SRP-dependent cotranslational protein targeting to membrane	http://amigo.geneontology.org/amigo/term/GO:0006614	95	51	7.433097323892955	6.861204391346464	0	0	3921;6125;6132;6134;6135;6136;6137;6141;6142;6143;6144;6147;6152;6156;6157;6158;6159;6161;6164;6165;6168;6169;6176;6181;6187;6188;6193;6194;6202;6203;6204;6205;6206;6207;6208;6209;6210;6217;6218;6223;6224;6228;6229;6232;6235;9349;10952;11224;23521;25873;130617	RPSA;RPS5;RPS9;RPL10;RPL18A;RPLP2;RPS2;RPL28;ZFAND2B;RPL18;RPL23;RPS19;RPS10;RPL35;RPL13A;RPL11;RPS16;RPL13;RPL29;RPS17;RPL30;RPS29;RPL5;RPS23;RPS20;RPS15;RPL27A;RPS15A;RPS8;RPS27;RPL36;RPL19;RPS11;RPS24;RPS6;RPL24;RPL8;RPS3;RPS14;RPL12;RPS12;RPL32;RPL37A;RPLP1;RPL23A;RPL21;RPS13;RPL35A;RPL34;SEC61B;RPL38
GO:0006401	RNA catabolic process	http://amigo.geneontology.org/amigo/term/GO:0006401	341	75	26.68090723628945	2.8109988665599195	1.1102230246251565e-16	7.763875012974844e-14	1432;1655;1869;2475;3921;6050;6125;6132;6134;6135;6136;6137;6141;6142;6143;6144;6147;6152;6156;6157;6158;6159;6161;6164;6165;6168;6169;6176;6181;6187;6188;6193;6194;6202;6203;6204;6205;6206;6207;6208;6209;6210;6217;6218;6223;6224;6228;6229;6232;6235;9125;9349;10767;11224;23016;23049;23404;23521;25873;26523;27161;27254;51154;55095;57690;57819;64852;79002;79048;79882;79899;131405;192669;221662;342977	TUT1;AGO1;ZC3H14;RPSA;RPS5;RPS9;RPL10;RPL18A;RPLP2;RPS2;RPL28;LSM2;RPL18;RPL23;SECISBP2;RPS19;RPS10;RPL35;TRIR;RPL13A;RPL11;RPS16;RPL13;RPL29;RPS17;RPL30;TNRC6C;RPS29;EXOSC2;EXOSC7;RPL5;RPS23;RPS20;RPS15;RPL27A;RPS15A;SAMD4B;RPS8;RPS27;RNH1;RPL36;PRR5L;RPL19;RPS11;RPS24;RPS6;AGO2;RPL24;RPL8;RPS3;HBS1L;RPS14;RPL12;RPS12;RPL32;RPL37A;RPLP1;RPL23A;RPL21;RPS13;TRIM71;AGO3;RPL35A;CNOT9;SMG1;RBM24;RPL34;NANOS3;MRTO4;RPL38;CSDC2;MAPK14;DDX5;E2F1;MTOR
GO:0006605	protein targeting	http://amigo.geneontology.org/amigo/term/GO:0006605	412	81	32.236169446777865	2.512705491690989	5.995204332975845e-15	3.893028756505958e-12	637;784;3265;3921;5189;6125;6132;6134;6135;6136;6137;6141;6142;6143;6144;6147;6152;6156;6157;6158;6159;6161;6164;6165;6168;6169;6176;6181;6187;6188;6193;6194;6202;6203;6204;6205;6206;6207;6208;6209;6210;6217;6218;6223;6224;6228;6229;6232;6235;6449;7855;8031;9049;9349;9520;9590;9776;10425;10952;11224;11337;22906;23203;23230;23521;25873;26985;27183;30849;54832;57154;83752;84243;90580;118424;120892;130617;132112;140823;285093;401647	RPSA;RPS5;RPS9;RPL10;RPL18A;PMPCA;RPLP2;RPS2;RPL28;SGTA;ATG13;UBE2J2;ZFAND2B;RPL18;RPL23;RPS19;RPS10;ARIH2;RPL35;RPL13A;RPL11;RPS16;GABARAP;RPL13;ROMO1;RPL29;RPS17;RPL30;RPS29;RPL5;RPS23;RPS20;RPS15;RPL27A;RPS15A;RPS8;RPS27;RPL36;RPL19;RPS11;RPS24;RPS6;RPL24;RPL8;RPS3;ZDHHC18;RPS14;RPL12;RPS12;RPL32;LONP2;RPL37A;RPLP1;RPL23A;RPL21;RPS13;VPS4A;AIP;PEX1;BID;VPS13C;TIMM29;RTP5;SMURF1;HRAS;RPL35A;AP3M1;FZD5;RPL34;GOLGA7B;SEC61B;RPL38;AKAP12;TRAK1;LRRK2;CACNB3;NCOA4;NPEPPS;RTP1;PIK3R4;VPS13A
GO:0072657	protein localization to membrane	http://amigo.geneontology.org/amigo/term/GO:0072657	593	103	46.39817592703708	2.2199148553161114	6.8833827526759706e-15	4.1717888403051505e-12	391;572;637;784;1742;1869;2042;2339;2533;3265;3675;3676;3921;4035;4118;5028;5064;6125;6132;6134;6135;6136;6137;6141;6142;6143;6144;6147;6152;6156;6157;6158;6159;6161;6164;6165;6168;6169;6176;6181;6187;6188;6193;6194;6202;6203;6204;6205;6206;6207;6208;6209;6210;6217;6218;6223;6224;6228;6229;6232;6235;6449;6711;6769;6810;7275;7429;8301;8636;9053;9211;9230;9349;10399;10434;10952;11224;23241;23521;25837;25873;25945;26119;27113;27183;29098;51308;51608;54550;55022;55690;57154;79156;81926;84243;90580;130617;132112;140823;285093;353116;401647;100133941	PLEKHF1;RHOG;PACS2;RANGRF;STX4;GET4;RPSA;RPS5;RPS9;VIL1;RPL10;RPL18A;RPLP2;MAL;RPS2;RPL28;SGTA;ZFAND2B;RPL18;RPL23;RPS19;RPS10;RPL35;RPL13A;RPL11;RPS16;RPL13;ROMO1;LDLRAP1;RPL29;RPS17;RAB11B;RPL30;RPS29;FYB1;RPL5;RPS23;RPS20;RPS15;RPL27A;RPS15A;RPS8;RPS27;RPL36;RPL19;RPS11;RPS24;RPS6;RPL24;RPL8;RPS3;RILPL1;ZDHHC18;SSNA1;RPS14;RPL12;RPS12;MAP7;RPL32;RPL37A;RPLP1;RACK1;RPL23A;RPL21;ABHD17A;RPS13;VPS4A;RAB26;STAC;BID;SPTBN1;TIMM29;FNTA;RTP5;SMURF1;ITGA3;BBC3;BAD;PICALM;HRAS;RPL35A;CD24;PALM;RPL34;PACS1;GOLGA7B;SEC61B;RPL38;P2RY1;NECAB2;E2F1;LRP1;DLG4;CACNB3;LYPLA1;ITGA4;TUB;EPHA3;RTP1;LGI1;NECTIN3;REEP2;PID1
GO:0072594	establishment of protein localization to organelle	http://amigo.geneontology.org/amigo/term/GO:0072594	537	93	42.01656066242649	2.213412962264798	1.8141044222375058e-13	1.0307514564100728e-10	572;637;868;1432;1869;2533;3099;3921;4088;5138;5189;6125;6132;6134;6135;6136;6137;6141;6142;6143;6144;6147;6152;6156;6157;6158;6159;6161;6164;6165;6168;6169;6176;6181;6187;6188;6193;6194;6202;6203;6204;6205;6206;6207;6208;6209;6210;6217;6218;6223;6224;6228;6229;6232;6235;6449;7128;7855;8031;9049;9349;9520;9670;9776;9972;10425;10856;10952;11142;11224;11267;23203;23230;23521;23633;25873;26985;27113;27183;30849;51160;51194;54832;55135;55929;57154;83752;90580;112869;118424;120892;130617;140823	CBLB;HK2;DMAP1;RPSA;RPS5;RPS9;RPL10;RPL18A;PMPCA;RPLP2;VPS28;RPS2;RPL28;SGTA;ATG13;UBE2J2;ZFAND2B;RPL18;RPL23;RPS19;WRAP53;RPS10;ARIH2;RPL35;RPL13A;RPL11;SNF8;RPS16;RPL13;ROMO1;RPL29;RPS17;RPL30;IPO13;RPS29;FYB1;RPL5;RPS23;RPS20;RPS15;RPL27A;RPS15A;RPS8;RPS27;RPL36;RPL19;RPS11;RPS24;RPS6;RPL24;RPL8;RPS3;RPS14;RPL12;RPS12;RPL32;LONP2;RPL37A;RPLP1;RPL23A;RPL21;SGF29;RPS13;TNFAIP3;VPS4A;AIP;PEX1;BID;NUP153;VPS13C;TIMM29;SMURF1;BBC3;BAD;RPL35A;IPO11;AP3M1;FZD5;RPL34;SEC61B;RPL38;MAPK14;RUVBL2;PKIG;E2F1;LRRK2;PDE2A;NCOA4;NPEPPS;KPNA6;PIK3R4;VPS13A;SMAD3
GO:0006412	translation	http://amigo.geneontology.org/amigo/term/GO:0006412	613	100	47.96303852154086	2.084938800428347	9.663381206337363e-13	5.167635208636057e-10	1612;1613;1936;1967;1984;2475;3658;3673;3921;5813;5914;6125;6132;6134;6135;6136;6137;6141;6142;6143;6144;6147;6152;6156;6157;6158;6159;6161;6164;6165;6168;6169;6176;6181;6182;6187;6188;6193;6194;6202;6203;6204;6205;6206;6207;6208;6209;6210;6217;6218;6223;6224;6228;6229;6232;6235;6311;7349;9125;9148;9349;9728;10399;10658;10767;11224;23191;23395;23521;23645;25873;26046;26164;26284;26523;27161;51372;54998;55052;55095;57690;64928;64949;64960;64975;64976;64978;65005;65993;79048;84324;84545;90480;92935;131405;192669;219402;221662;342977;100526842	AGO1;RPSA;MRPS15;RPS5;RPS9;RPL10;RPL18A;RPLP2;RPS2;MTG2;RPL28;MRPL38;EIF2B1;MTIF3;RPL18;RPL23;LTN1;SECISBP2;UCN;RPS19;CYFIP1;RPS10;RPL35;RPL13A;RPL11;RPS16;RPL13;RPL29;RPS17;MRPL41;EEF1D;SARNP;RPL30;TNRC6C;RPS29;RPL17-C18orf32;RPL5;RPS23;RPS20;RPS15;RPL27A;RPS15A;PURA;SAMD4B;RPS8;RPS27;DAPK3;RPL36;RPL19;RPS11;RPS24;RPS6;AGO2;RPL24;RPL8;RPS3;HBS1L;RPS14;RPL12;RPS12;MRPS34;RPL32;RPL37A;SECISBP2L;RPLP1;RACK1;RPL23A;RPL21;ATXN2;RPS13;CELF1;TRIM71;ITGA2;AGO3;MRPL43;AURKAIP1;PPP1R15A;EIF5A;RPL35A;CNOT9;MRPL40;DAPK1;MRPL12;TMA7;RBM24;MRPL9;RPL34;NANOS3;RPL38;MRPL14;ERAL1;GADD45GIP1;IREB2;RARA;MRPL20;LARS2;MRPS26;NEURL1;MARS2;MTOR
GO:0033365	protein localization to organelle	http://amigo.geneontology.org/amigo/term/GO:0033365	888	130	69.47989919596783	1.8710447410600786	1.1883827255587676e-12	6.001992976697087e-10	402;572;636;637;868;1258;1432;1869;2099;2533;3099;3265;3921;4088;4926;5138;5189;6125;6132;6134;6135;6136;6137;6141;6142;6143;6144;6147;6152;6156;6157;6158;6159;6161;6164;6165;6168;6169;6176;6181;6187;6188;6193;6194;6202;6203;6204;6205;6206;6207;6208;6209;6210;6217;6218;6223;6224;6228;6229;6232;6235;6242;6449;6491;7128;7275;7855;8031;8658;8829;9049;9211;9349;9520;9670;9776;9972;10425;10445;10856;10952;11142;11224;11267;22873;23203;23230;23345;23353;23383;23481;23521;23633;23645;25873;26985;27113;27183;29997;30849;50855;51104;51160;51194;51608;54552;54623;54832;54908;55135;55690;55929;57154;58489;64770;79809;81926;83752;84376;90580;112869;118424;120892;130617;140823;144577;152559;225689;254394;375056	NUMA1;TTC21B;CBLB;MAU2;HK2;SPDL1;DMAP1;NOP53;RTKN;GET4;RPSA;PAF1;RPS5;RPS9;RPL10;RPL18A;PMPCA;RPLP2;VPS28;RPS2;RPL28;SGTA;ATG13;UBE2J2;ABHD17B;ZFAND2B;SUN1;RPL18;RPL23;SYNE1;RPS19;WRAP53;RPS10;ARIH2;RPL35;BICD1;RPL13A;RPL11;SNF8;RPS16;RPL13;ROMO1;RPL29;RPS17;ARL2;RPL30;IPO13;RPS29;FYB1;RPL5;RPS23;RPS20;RPS15;RPL27A;RPS15A;RPS8;RPS27;RPL36;RPL19;RPS11;RPS24;RPS6;RPL24;RPL8;RPS3;MIA3;RPS14;RPL12;RPS12;RPL32;PES1;LONP2;RPL37A;RPLP1;RPL23A;RPL21;ABHD17A;SGF29;RPS13;TNKS;TNFAIP3;VPS4A;AIP;PEX1;HOOK3;BID;NUP153;VPS13C;TIMM29;SMURF1;BBC3;BAD;HRAS;PPP1R15A;RPL35A;MCM9;IPO11;ABHD17C;AP3M1;FZD5;MCRS1;RPL34;PACS1;GNL3L;SEC61B;RPL38;PAQR3;C12orf66;MAPK14;RUVBL2;DZIP1;MAPK15;PKIG;E2F1;LRRK2;CCDC14;PDE2A;PARD6A;CNGB1;NCOA4;NPEPPS;STIL;TUB;KPNA6;LGI1;PIK3R4;VPS13A;NRP1;ESR1;SMAD3
GO:0043043	peptide biosynthetic process	http://amigo.geneontology.org/amigo/term/GO:0043043	636	102	49.7626305052202	2.049730871628661	1.6486811915683575e-12	7.888505638183125e-10	1612;1613;1756;1936;1967;1984;2475;2729;3658;3673;3921;5813;5914;6125;6132;6134;6135;6136;6137;6141;6142;6143;6144;6147;6152;6156;6157;6158;6159;6161;6164;6165;6168;6169;6176;6181;6182;6187;6188;6193;6194;6202;6203;6204;6205;6206;6207;6208;6209;6210;6217;6218;6223;6224;6228;6229;6232;6235;6311;7349;9125;9148;9349;9728;10399;10658;10767;11224;23191;23395;23521;23645;25873;26046;26164;26284;26523;27161;51372;54998;55052;55095;57690;64928;64949;64960;64975;64976;64978;65005;65993;79048;84324;84545;90480;92935;131405;192669;219402;221662;342977;100526842	AGO1;RPSA;MRPS15;RPS5;RPS9;RPL10;RPL18A;RPLP2;RPS2;MTG2;RPL28;MRPL38;EIF2B1;MTIF3;RPL18;RPL23;LTN1;SECISBP2;UCN;RPS19;CYFIP1;RPS10;RPL35;RPL13A;RPL11;RPS16;RPL13;RPL29;RPS17;MRPL41;EEF1D;SARNP;RPL30;TNRC6C;RPS29;RPL17-C18orf32;RPL5;RPS23;RPS20;RPS15;RPL27A;RPS15A;PURA;SAMD4B;RPS8;RPS27;DAPK3;RPL36;RPL19;RPS11;RPS24;RPS6;AGO2;RPL24;RPL8;RPS3;GCLC;HBS1L;RPS14;RPL12;RPS12;MRPS34;RPL32;RPL37A;SECISBP2L;RPLP1;RACK1;RPL23A;RPL21;ATXN2;RPS13;CELF1;TRIM71;ITGA2;AGO3;MRPL43;AURKAIP1;PPP1R15A;EIF5A;RPL35A;CNOT9;MRPL40;DAPK1;MRPL12;TMA7;RBM24;MRPL9;RPL34;NANOS3;RPL38;MRPL14;ERAL1;GADD45GIP1;IREB2;DMD;RARA;MRPL20;LARS2;MRPS26;NEURL1;MARS2;MTOR
GO:0044265	cellular macromolecule catabolic process	http://amigo.geneontology.org/amigo/term/GO:0044265	1108	150	86.69338773550942	1.7302357644348962	9.855449789597515e-12	4.47979470186155e-9	210;863;997;1432;1655;1869;2055;2475;2729;3300;3921;4035;6050;6125;6132;6134;6135;6136;6137;6141;6142;6143;6144;6147;6152;6156;6157;6158;6159;6161;6164;6165;6168;6169;6176;6181;6187;6188;6193;6194;6202;6203;6204;6205;6206;6207;6208;6209;6210;6217;6218;6223;6224;6228;6229;6232;6235;6449;6468;6477;7128;7480;9112;9125;9131;9349;9361;9572;9690;10015;10273;10399;10425;10767;10855;10952;11224;11267;11274;22933;23016;23049;23190;23304;23404;23521;25873;26001;26046;26263;26270;26523;27161;27183;27246;27252;27254;28996;29997;51035;51154;51160;51343;51433;51449;51528;51529;51608;54461;54504;55095;57003;57154;57448;57589;57690;57819;59342;64852;79002;79048;79734;79882;79899;80176;80267;81858;83590;83737;83752;84132;84447;84669;89853;89910;90864;91304;93611;118424;120892;130617;131405;132671;146330;153090;192669;197131;221662;339745;342977	HIPK2;TUT1;SHARPIN;AGO1;MTA1;UBXN1;ANAPC5;ZC3H14;NOP53;GET4;RPSA;RPS5;MVB12B;RPS9;RPL10;SPSB3;RPL18A;RPLP2;VPS28;RPS2;FBXO22;ALAD;CLN8;RPL28;SGTA;UBE2J2;ZFAND2B;LSM2;RPL18;RPL23;LTN1;SECISBP2;RPS19;TMEM259;SIRT2;LONP1;RPS10;ARIH2;RPL35;TRIR;RPL13A;RPL11;SNF8;RPS16;FBXW5;RPL13;RPL29;RPS17;RPL30;FZR1;TNRC6C;RPS29;EXOSC2;SPOPL;EXOSC7;RPL5;ITCH;RPS23;RPS20;RPS15;RPL27A;RPS15A;SAMD4B;RPS8;RPS27;RNH1;RPL36;PRR5L;RPL19;RPS11;TMUB1;RPS24;RPS6;AGO2;RPL24;RPL8;RPS3;FBXW4;GCLC;HBS1L;SPSB1;RPS14;RPL12;RPS12;UBE3B;UBXN4;RPL32;DAB2IP;LONP2;RPL37A;SCPEP1;RPLP1;RACK1;DNAJB2;RPL23A;RPL21;CPVL;RPS13;TRIM71;TNFAIP3;VPS4A;AGO3;USP42;RNF115;SMURF1;SIAH1;UBR2;SYVN1;RPL35A;FBXO6;CBFA2T3;CNOT9;JKAMP;SMG1;ANAPC11;EDEM3;PDCD6IP;RBM24;RPL34;WNT10B;RIC1;BIRC6;SPATA18;NANOS3;SEC61B;MRTO4;RPL38;KLHL20;NR1D1;KCTD17;CSDC2;MAPK14;USP32;HPSE;DDX5;RNF167;CCDC47;PCYOX1;E2F1;LRRK2;USP18;STUB1;LRP1;FBXL16;UBR1;FBXO44;AIFM1;CDC34;UBE3C;MTOR
